2.4543,1.486,1.9376,1.496,2.8352,1.5306
3.2338,2.0548,2.8026,2.751,2.6404,1.9052
2.6781,1.5274,1.7872,1.3513,1.8118,1.4511
2.3936,0.99472,2.0699,1.2429,2.3038,0.88993
4.5392,1.504,3.8785,1.6898,2.7381,1.4044
3.5245,3.1402,5.1575,3.3383,4.0167,2.058
2.0865,0.85933,1.3048,1.1063,1.4671,1.2232
2.9066,2.002,2.0099,2.1867,2.4538,1.9747
4.6104,2.3926,2.6215,2.4989,2.3427,1.8548
1.7157,0.74983,1.6234,0.80369,1.7748,0.96207
8.0238,9.0593,8.5677,7.7979,6.7123,8.0656
3.7415,1.1605,3.7058,1.9183,3.6845,1.7161
3.1995,1.4761,2.0066,4.6407,1.8344,0.92653
2.8436,1.2567,2.2536,1.5268,3.0778,1.039
